location,country,Lat,Lon,parameter,n,yBaseline,y2020,diffBase,diffBaseRel
FR36002,FR,44.933510999999996,4.893482275,pm25,3,13.644829333333334,13.123434333333334,-0.521395,-3.8211910699848013
FR36021,FR,44.56943342105263,5.278969052631579,no2,3,1.7480159,1.9972932,0.24927730000000015,14.260585387123776
FR40008,FR,4.9378443,-52.32094,no2,3,2.032141833333333,1.6962018,-0.3359400333333331,-16.531328070850687
FR40008,FR,4.9378443,-52.32094,o3,3,44.473787,38.923750999999996,-5.550036000000006,-12.479342044786979
FR82020,FR,47.64066,6.859275,no2,3,27.977061,15.774315333333334,-12.202745666666665,-43.61696772461791
FugueiCape,TW,25.296887833333333,121.538165,no2,3,0.006718305274248666,0.005281654690390899,-0.001436650583857767,-21.384121816620386
FugueiCape,TW,25.296887833333333,121.538165,o3,3,0.073723653688,0.09824724722559999,0.02452359353759999,33.26421346584955
FugueiCape,TW,25.296887833333333,121.538165,pm25,3,20.592997333333333,14.603749666666667,-5.989247666666666,-29.083904444410486
Fuxing,TW,22.608711,120.31202,no2,3,0.04090236876344566,0.03828159030542667,-0.002620778458018995,-6.407400200159502
Fuxing,TW,22.608711,120.31202,o3,3,0.0520599517504,0.058466854950399993,0.006406903199999994,12.306778981889408
Fuxing,TW,22.608711,120.31202,pm25,3,34.93771266666667,26.390388666666666,-8.547324000000003,-24.464463605697986
Georgia Station,US,33.1787,-84.4052,o3,3,0.062040949548799997,0.06216969227839999,1.2874272959999267e-4,0.2075125067174005
GIR-SOSN - Girardota - S.O.S Aburrá Norte,CO,6.378692285714286,-75.45104142857143,no2,2,0.0207118456644365,0.023636398433446247,0.0029245527690097486,14.12019390445432
"GM Office, Brajrajnagar - OSPCB",IN,21.800499,83.8397,no2,2,32.562184,16.1966225,-16.365561500000002,-50.259409811086385
Grand Falls Windsor,CA,49.0194,-55.8028,o3,3,0.0735883015184,0.0753527242464,0.0017644227279999952,2.3976945949198454
Guting,TW,25.020609,121.52956,no2,3,0.036267222288578996,0.028185754647359666,-0.00808146764121933,-22.28311718199683
Guting,TW,25.020609,121.52956,o3,3,0.0631109465552,0.0679086343472,0.004797687792000002,7.6019899143862535
Guting,TW,25.020609,121.52956,pm25,3,19.95346,13.954992666666667,-5.998467333333332,-30.06229161926469
Harrisville,US,41.3028,-111.9883,no2,3,0.016306327246429667,0.0155368101320058,-7.69517114423867e-4,-4.719132044846922
Healdton,US,34.2569,-97.4742,o3,3,0.060237692761599994,0.062397287363199994,0.0021595946015999998,3.585121711329367
Herriman #3,US,40.496407,-112.03631,pm25,3,3.0285303666666668,3.2181657,0.18963533333333338,6.261628921424828
"Hiran Ruchi, Thon Buri",TH,13.732878,100.486015,no2,3,0.038786812740319664,0.022080053788605832,-0.01670675895171383,-43.07329675053919
Hobbs Jefferson,US,32.7267,-103.1233,pm25,3,7.9790917666666665,4.5836458,-3.3954459666666663,-42.55429146524458
HR0026A,HR,45.714844,16.068254,no2,3,23.483297333333333,19.007287333333334,-4.476009999999999,-19.060398275699267
HR0026A,HR,45.714844,16.068254,o3,3,55.31292233333333,61.92806133333333,6.615138999999999,11.959482017845774
HU0035A,HU,47.691944,16.575008,no2,3,19.404175666666667,13.886792333333332,-5.517383333333335,-28.434000125093355
HU0035A,HU,47.691944,16.575008,o3,3,55.79970466666667,60.24861033333333,4.448905666666661,7.972991422164864
