mean,count,Lon,Lat,day,month,year,country,city,parameter,unit
7.633214,41,20.703152,48.192074,18,11,2017,HU,Borsod-Abaúj-Zemplén,so2,µg/m³
7.170212,189,77.596664,12.959212,30,8,2017,IN,Bengaluru,so2,µg/m³
16.990269,149,77.60585,12.952961,30,8,2017,IN,Bengaluru,pm25,µg/m³
-999,22,4.46134,51.9271,30,8,2017,NL,Rotterdam Noord ,no2,µg/m³
24.042017,22,5.70842,52.1116,30,8,2017,NL,Wekerom,pm25,µg/m³
27.872835,22,4.40139,51.9214,30,8,2017,NL,Schiedam,pm10,µg/m³
0,41,25.248293,54.67916,1,11,2017,LT,Vilnius,pm10,µg/m³
0,40,25.274778,54.688465,1,11,2017,LT,Vilnius,co,µg/m³
43.622223,45,120.77684,23.87941,25,11,2017,TW,南投縣,pm10,µg/m³
0.003546667,30,120.29644,23.510073,25,11,2017,TW,嘉義縣,so2,ppm
0.027916666,12,-96.70077,43.54792,22,10,2017,US,MINNEHAHA,o3,ppm
2.0083334,12,-96.70077,43.54792,22,10,2017,US,MINNEHAHA,pm25,µg/m³
0.01970238,168,152.99167,-27.488926,30,8,2017,AU,South East Queensland,o3,ppm
17.095238,21,36.552105,40.318665,16,11,2017,TR,Tokat,o3,µg/m³
11.714723,36,3.1050415,45.786488,7,11,2017,FR,Puy-de-Dôme,pm25,µg/m³
22.952143,42,4.450131,45.44287,7,11,2017,FR,Loire,pm25,µg/m³
3.6470587,17,9.434644,42.671337,7,11,2017,FR,Haute-Corse,pm25,µg/m³
0,1,-71.52577,-32.935165,4,10,2017,CL,Junta de Vecinos,so2,µg/m³
0.032,4,-72.27233,42.93052,23,8,2017,US,Keene,o3,ppm
5.5,4,-71.878624,42.86183,23,8,2017,US,Manchester-Nashua,pm10,µg/m³
8.161364,44,12.644102,50.27264,21,9,2017,CZ,Karlovarský,no2,µg/m³
0.12426606,109,151.1416,-33.87569,24,11,2017,AU,Sydney East,so2,ppm
0.062264152,53,150.82187,-33.973972,24,11,2017,AU,Sydney South-west,co,ppm
0.2766879,6443,34.685226,31.692944,24,11,2017,IL,מישור החוף הדרומי,co,ppm
46.23,43,,,18,11,2017,IN,Vijayawara,pm25,µg/m³
6.9166665,12,0.18125,50.7937,4,11,2017,GB,Lullington Heath,so2,µg/m³
