countryCode,date,parameter,mean
AUS,2020-04-12,o3,0.036568692860995934
AUS,2020-04-12,pm25,NA
AUS,2020-04-13,no2,0.01320349041438975
AUS,2020-04-13,o3,0.03383606200256679
AUS,2020-04-13,pm25,NA
AUS,2020-04-14,no2,0.01850055039998502
AUS,2020-04-14,o3,0.034536957065159093
AUS,2020-04-14,pm25,9.749429945356539
AUS,2020-04-15,no2,0.016776286633907476
AUS,2020-04-15,o3,0.038243246217860447
AUS,2020-04-15,pm25,NA
AUS,2020-04-16,no2,0.017332447870064483
AUS,2020-04-16,o3,0.031684785381616024
AUS,2020-04-16,pm25,NA
AUS,2020-04-17,no2,0.012093191821141729
AUS,2020-04-17,o3,0.03779893135873679
AUS,2020-04-17,pm25,NA
AUS,2020-04-18,no2,0.010980743012179503
AUS,2020-04-18,o3,0.03579145530647139
AUS,2020-04-18,pm25,NA
AUS,2020-04-19,no2,0.01207623091560184
AUS,2020-04-19,o3,0.02971300931608898
AUS,2020-04-19,pm25,NA
AUS,2020-04-20,no2,0.018530633649899698
AUS,2020-04-20,o3,0.02645061140494035
AUS,2020-04-20,pm25,NA
AUS,2020-04-21,no2,0.019171449566704066
AUS,2020-04-21,o3,0.026652221745481514
AUS,2020-04-21,pm25,NA
AUS,2020-04-22,no2,0.02057820558054524
AUS,2020-04-22,o3,0.024571921352548237
AUS,2020-04-22,pm25,NA
AUS,2020-04-23,no2,0.017829508115292915
AUS,2020-04-23,o3,0.028544642658197124
AUS,2020-04-23,pm25,NA
AUS,2020-04-24,no2,0.020326300569132802
AUS,2020-04-24,o3,0.03125386395845631
AUS,2020-04-24,pm25,NA
AUS,2020-04-25,no2,0.00535139434375
AUS,2020-04-25,o3,0.027812000654400003
AUS,2020-04-25,pm25,9.3492155
AUS,2020-04-26,no2,0.007515019693484469
AUS,2020-04-26,o3,0.038802809572253884
AUS,2020-04-26,pm25,NA
AUS,2020-04-27,no2,0.017053044825094746
AUS,2020-04-27,o3,0.023768399557972792
AUS,2020-04-27,pm25,NA
AUS,2020-04-28,no2,0.01460880540468543
AUS,2020-04-28,o3,0.026894302091042738
AUS,2020-04-28,pm25,NA
AUS,2020-04-29,no2,0.01465736754776812
AUS,2020-04-29,o3,0.028471529872313328
AUS,2020-04-29,pm25,NA
AUS,2020-04-30,no2,0.01603469646837622
AUS,2020-04-30,o3,0.026813950982618368
AUS,2020-04-30,pm25,NA
AUS,2020-05-01,no2,0.007280342513611689
AUS,2020-05-01,o3,0.04286647624239549
AUS,2020-05-01,pm25,NA
AUS,2020-05-02,no2,0.004332036993012612
AUS,2020-05-02,o3,0.04678152646055035
AUS,2020-05-02,pm25,NA
AUS,2020-05-03,no2,0.008192828160248076
AUS,2020-05-03,o3,0.039701735441338634
AUS,2020-05-03,pm25,NA
AUS,2020-05-04,no2,0.01821122758939655
AUS,2020-05-04,o3,NA
AUS,2020-05-04,pm25,NA
AUS,2020-05-05,no2,0.016969017807731437
AUS,2020-05-05,o3,0.02304640846215848
AUS,2020-05-05,pm25,NA
AUS,2020-05-06,no2,0.017885860715907555
AUS,2020-05-06,o3,0.025610794111930565
AUS,2020-05-06,pm25,7.003046643438903
AUS,2020-05-07,no2,0.015313452852032191
AUS,2020-05-07,o3,NA
AUS,2020-05-07,pm25,NA
AUS,2020-05-08,no2,0.0149965903247936
AUS,2020-05-08,o3,0.031075935563828462
AUS,2020-05-08,pm25,NA
AUS,2020-05-09,no2,0.00814909905875024
AUS,2020-05-09,o3,0.038878943358084124
AUS,2020-05-09,pm25,NA
AUS,2020-05-10,no2,0.008213905251382237
AUS,2020-05-10,o3,NA
AUS,2020-05-10,pm25,NA
AUS,2020-05-11,no2,0.02010697123924008
AUS,2020-05-11,o3,0.02228142795138141
AUS,2020-05-11,pm25,NA
AUS,2020-05-12,no2,0.017946575701085994
AUS,2020-05-12,o3,0.025799005187524777
AUS,2020-05-12,pm25,6.388494294468882
AUS,2020-05-14,no2,0.018604650634543557
AUS,2020-05-14,o3,0.02431775644133881
AUS,2020-05-14,pm25,NA
AUS,2020-05-15,no2,0.021099795630814464
AUS,2020-05-15,o3,0.017511543007600678
AUS,2020-05-15,pm25,NA
AUS,2020-05-16,no2,0.0181548284353987
AUS,2020-05-16,o3,0.01786367389974169
AUS,2020-05-16,pm25,NA
AUS,2020-05-17,no2,0.01843692207118247
AUS,2020-05-17,o3,0.023675463736861854
AUS,2020-05-17,pm25,NA
AUS,2020-05-18,no2,0.022416208489934485
AUS,2020-05-18,o3,0.017495351829908298
AUS,2020-05-18,pm25,NA
AUS,2020-05-19,no2,0.01823367315809642
AUS,2020-05-19,o3,0.023232455687690792
AUS,2020-05-19,pm25,NA
AUS,2020-05-20,no2,0.01353285596308159
AUS,2020-05-20,o3,0.030727310475986976
AUS,2020-05-20,pm25,NA
AUS,2020-05-21,no2,0.02042666766243552
AUS,2020-05-21,o3,0.021845833888485364
AUS,2020-05-21,pm25,NA
AUT,2017-02-18,no2,29.937143316016147
AUT,2017-02-18,o3,33.609170564098385
AUT,2017-02-19,no2,17.709203925764097
AUT,2017-02-19,o3,11.018942963709394
AUT,2017-02-20,no2,17.280333691210632
AUT,2017-02-20,o3,18.10966198525196
AUT,2017-02-21,no2,10.94929305593559
AUT,2017-02-21,o3,39.658012860071885
AUT,2017-02-22,no2,15.457748725816115
AUT,2017-02-22,o3,31.193190557424796
AUT,2017-02-23,no2,19.48874413368694
AUT,2017-02-23,o3,34.491490286605654
AUT,2017-02-24,no2,10.911835049966445
AUT,2017-02-24,o3,45.71905957914832
AUT,2017-02-25,no2,10.680027626112981
AUT,2017-02-25,o3,29.166857760239715
AUT,2017-02-26,no2,21.23850430922547
AUT,2017-02-26,o3,18.455211273748375
AUT,2017-02-27,no2,32.19670344553505
AUT,2017-02-27,o3,41.10792159911342
AUT,2017-02-28,no2,20.912870222700683
AUT,2017-02-28,o3,41.172167519258686
AUT,2017-03-01,no2,9.235614514728374
AUT,2017-03-01,o3,42.165918042857896
AUT,2017-03-02,no2,17.165126349474665
AUT,2017-03-02,o3,34.59265131120046
AUT,2017-03-03,no2,12.854986611725499
AUT,2017-03-03,o3,37.423143406357525
AUT,2017-03-04,no2,11.37823609819713
AUT,2017-03-04,o3,44.350377200967785
AUT,2017-03-05,no2,6.560854781267078
AUT,2017-03-05,o3,40.06598131898653
AUT,2017-03-06,no2,9.038656269304866
AUT,2017-03-06,o3,54.64065452185364
AUT,2017-03-07,no2,20.894159556731857
AUT,2017-03-07,o3,48.49177087939678
AUT,2017-03-08,no2,24.957789908922525
AUT,2017-03-08,o3,49.821197204958416
AUT,2017-03-09,no2,15.531303948948187
AUT,2017-03-09,o3,27.784835409521126
AUT,2017-03-10,no2,8.093186211867627
AUT,2017-03-10,o3,45.16649613363511
AUT,2017-03-12,no2,16.046976696735136
AUT,2017-03-12,o3,71.91048978568178
AUT,2017-03-13,no2,21.42956900398666
AUT,2017-03-13,o3,38.5676005449495
AUT,2017-03-14,no2,23.21312838241532
AUT,2017-03-14,o3,41.338133480965816
AUT,2017-03-15,no2,21.37616099382177
AUT,2017-03-15,o3,32.94903199972242
AUT,2017-03-16,no2,22.51112985380811
AUT,2017-03-16,o3,49.73288291890083
AUT,2017-03-17,no2,20.35212938310824
AUT,2017-03-17,o3,33.065544405614745
AUT,2017-03-18,no2,7.122338109843293
AUT,2017-03-18,o3,24.58462755150653
AUT,2017-03-19,no2,4.8359414146683335
AUT,2017-03-19,o3,29.455565233667006
AUT,2017-03-20,no2,13.821993087145556
AUT,2017-03-20,o3,36.0427356715948
AUT,2017-03-21,no2,21.16685225206284
AUT,2017-03-21,o3,16.58142076308773
AUT,2017-03-22,no2,10.842749373030102
AUT,2017-03-22,o3,17.11583427138947
AUT,2017-03-23,no2,12.615371604799956
AUT,2017-03-23,o3,14.064992416711693
AUT,2017-03-24,no2,14.827591989090983
AUT,2017-03-24,o3,22.645925627316046
AUT,2017-03-27,no2,26.321266862604478
AUT,2017-03-27,o3,43.08980589442731
AUT,2017-03-28,no2,24.32042371684677
AUT,2017-03-28,o3,19.060408615944212
AUT,2017-03-29,no2,14.664486771986622
AUT,2017-03-29,o3,35.815677486775826
AUT,2017-03-30,no2,17.235999957016066
AUT,2017-03-30,o3,32.63682201762613
AUT,2017-03-31,no2,20.060091392118537
AUT,2017-03-31,o3,25.1766398851566
AUT,2017-04-01,no2,9.285952052349089
AUT,2017-04-01,o3,37.165966071307956
AUT,2017-04-02,no2,17.154079318478722
AUT,2017-04-02,o3,32.09821114575029
AUT,2017-04-03,no2,16.668794357653276
AUT,2017-04-03,o3,29.515118311388903
AUT,2017-04-04,no2,6.295813267271208
AUT,2017-04-04,o3,32.25010845260851
AUT,2017-04-05,no2,6.024086784984178
AUT,2017-04-05,o3,29.395112409041058
AUT,2017-04-06,no2,12.54544736499433
AUT,2017-04-06,o3,62.914203471634906
AUT,2017-04-07,no2,12.25814507160515
AUT,2017-04-07,o3,38.4382970186314
AUT,2017-04-08,no2,8.516851545797143
AUT,2017-04-08,o3,24.624911803122256
AUT,2017-04-09,no2,16.53875485539036
AUT,2017-04-09,o3,34.82093315390926
AUT,2017-04-10,no2,24.11245392923997
AUT,2017-04-10,o3,36.050980612012296
AUT,2017-04-11,no2,12.921534718160666
AUT,2017-04-11,o3,47.84490819539067
AUT,2017-04-12,no2,19.827996071205238
AUT,2017-04-12,o3,33.26958473263459
AUT,2017-04-13,no2,22.179083519247232
AUT,2017-04-13,o3,37.73008329802053
AUT,2017-04-14,no2,15.330180497181791
AUT,2017-04-14,o3,18.8527070473224
AUT,2017-04-15,no2,15.370374862242434
AUT,2017-04-15,o3,31.031410912710623
AUT,2017-04-16,no2,5.4687056147312765
AUT,2017-04-16,o3,45.842014881954604
AUT,2017-04-17,no2,6.773005844980479
AUT,2017-04-17,o3,44.04190366278859
AUT,2017-04-18,no2,11.226566194076447
AUT,2017-04-18,o3,57.364315071134484
AUT,2017-04-19,no2,14.530459542174693
AUT,2017-04-19,o3,60.09225724529576
AUT,2017-04-20,no2,11.79643290939134
AUT,2017-04-20,o3,59.8517295810744
AUT,2017-04-21,no2,9.911806991026511
AUT,2017-04-21,o3,37.60853804623553
AUT,2017-04-22,no2,12.062046459932077
AUT,2017-04-22,o3,60.523071093844074
AUT,2017-04-23,no2,7.761836744947263
AUT,2017-04-23,o3,58.28417427855885
AUT,2017-04-24,no2,19.433696964541774
AUT,2017-04-24,o3,39.645389916463934
AUT,2017-04-25,no2,19.99595692103499
AUT,2017-04-25,o3,36.76612746348426
AUT,2017-04-26,no2,14.501832765779959
AUT,2017-04-26,o3,36.24319871359315
AUT,2017-04-27,no2,14.949871167964826
AUT,2017-04-27,o3,27.49053761830742
AUT,2017-04-28,no2,10.393544308982749
AUT,2017-04-28,o3,23.54261613699864
AUT,2017-04-29,no2,6.27856293890831
AUT,2017-04-29,o3,23.21385560023522
AUT,2017-05-02,no2,16.02103990494744
AUT,2017-05-02,o3,70.3293528854896
AUT,2017-05-03,no2,20.09939869426446
AUT,2017-05-03,o3,81.81314632570324
AUT,2017-05-11,no2,23.25343010653547
AUT,2017-05-11,o3,98.40197683234267
AUT,2017-05-14,no2,19.442329388380006
AUT,2017-05-14,o3,69.47684899296364
AUT,2017-05-15,no2,14.026804524135354
AUT,2017-05-15,o3,53.461176400907384
AUT,2017-05-16,no2,11.494325990143178
AUT,2017-05-16,o3,46.05896398691604
AUT,2017-05-17,no2,19.35487626500649
AUT,2017-05-17,o3,67.60457184893939
AUT,2017-05-18,no2,20.90559126186373
AUT,2017-05-18,o3,87.75994835688218
AUT,2017-05-23,no2,29.56514985590675
AUT,2017-05-23,o3,86.00338695475473
AUT,2017-05-24,no2,12.11465486911206
AUT,2017-05-24,o3,43.33915393382926
AUT,2017-05-25,no2,6.287743845993374
AUT,2017-05-25,o3,39.33431478660411
AUT,2017-05-26,no2,11.453334169088937
AUT,2017-05-26,o3,43.042538630387334
AUT,2017-05-27,no2,12.501160890333034
AUT,2017-05-27,o3,40.132586866610374
AUT,2017-05-28,no2,10.625025861616686
AUT,2017-05-28,o3,45.3237469158315
AUT,2017-05-29,no2,13.518268290906681
AUT,2017-05-29,o3,40.943388621265235
AUT,2017-05-30,no2,17.57059145743888
AUT,2017-05-30,o3,46.587673870208874
AUT,2017-05-31,no2,10.42518970086276
